Hola compañeros,

En este correo os envío los datos tomados por nuestra sonda.
Os envío "el bruto" en un archivo .txt 

Formato:

$Datos,n, humidity [%],Ext Temp [ºC], Int Tem [ºC],Pressure [KPa],Z 

Eg: $Datos,1,46,22,20,89,Z

En este ejemplo, estaríamos viendo los datos de la muestra número "1". Comprobamos que había un 46% de Humedad relativa, una temperatura exterior de 22ºC y una interior de 20ºC, con una presión de 89KPa.

Como podéis comprobar los dos termómetros no están del todo "calibrados/sincronizados". Son de diferente tipo y hay fluctuaciones entre ambos. A lo mejor se pueden hacer algún pequeño algoritmo de corrección que añada un OFFSET (en teoría, durante las primeras tomas, ambos dos deberían encontrarse al mismo valor) para poder comparar las medidas a lo largo del vuelo.

$Datos,244, 1,218,7,8,Z
$Datos,245, 1,219,7,8,Z
$Datos,246, 1,219,6,7,Z
$Datos,247, 1,218,6,7,Z
$Datos,248, 1,218,6,7,Z
$Datos,249, 1,219,6,7,Z
$Datos,250, 1,219,6,7,Z
$Datos,251, 1,219,6,7,Z
$Datos,252, 1,219,5,6,Z
$Datos,253, 1,219,5,6,Z
$Datos,254, 1,219,5,6,Z
$Datos,255, 1,219,5,6,Z
$Datos,256, 1,219,5,6,Z
$Datos,257, 1,218,4,6,Z
$Datos,258, 1,218,4,6,Z
$Datos,259, 1,218,4,6,Z
$Datos,260, 1,217,4,5,Z
$Datos,261, 1,217,4,5,Z
$Datos,262, 1,217,4,5,Z
$Datos,263, 1,215,3,5,Z
$Datos,264, 1,215,4,5,Z
$Datos,265, 1,215,3,5,Z
$Datos,266, 1,215,3,5,Z
$Datos,267, 1,215,3,5,Z
$Datos,268, 1,215,3,5,Z
$Datos,269, 1,215,3,5,Z
$Datos,270, 1,215,2,5,Z
$Datos,271, 1,214,2,5,Z
$Datos,272, 1,214,2,5,Z
$Datos,273, 1,214,2,5,Z
$Datos,274, 1,214,2,5,Z
$Datos,275, 1,215,2,5,Z
$Datos,276, 1,215,2,5,Z
$Datos,277, 1,215,1,5,Z
$Datos,278, 1,215,1,5,Z
$Datos,279, 1,215,1,5,Z
$Datos,280, 1,215,1,5,Z
$Datos,281, 1,215,1,5,Z
$Datos,282, 1,215,0,5,Z
$Datos,283, 1,215,0,5,Z
$Datos,284, 1,215,0,5,Z
$Datos,285, 1,216,0,5,Z
$Datos,286, 1,215,0,5,Z
$Datos,287, 1,214,0,5,Z
$Datos,288, 1,214,0,5,Z
$Datos,289, 1,214,0,5,Z
$Datos,290, 1,213,0,5,Z
$Datos,291, 1,213,0,5,Z
$Datos,292, 1,213,0,5,Z
$Datos,293, 1,213,0,5,Z
$Datos,294, 1,213,0,5,Z
$Datos,295, 1,212,0,5,Z
$Datos,296, 1,212,255,5,Z
$Datos,297, 1,212,255,5,Z
$Datos,298, 1,212,255,5,Z
$Datos,299, 1,212,255,5,Z
$Datos,300, 1,212,255,5,Z
$Datos,301, 1,211,255,5,Z
$Datos,302, 1,211,254,5,Z
$Datos,303, 1,210,254,5,Z
$Datos,304, 1,211,254,5,Z
$Datos,305, 1,210,254,5,Z
$Datos,306, 1,210,254,5,Z
$Datos,307, 1,210,253,5,Z
$Datos,308, 1,210,254,5,Z
$Datos,309, 1,210,254,5,Z
$Datos,310, 1,210,253,5,Z
$Datos,311, 1,209,253,5,Z
$Datos,312, 1,209,253,5,Z
$Datos,313, 1,209,253,5,Z
$Datos,314, 1,209,253,5,Z
$Datos,315, 1,209,253,5,Z
$Datos,316, 1,209,252,5,Z
$Datos,317, 1,209,252,5,Z
$Datos,318, 1,208,252,5,Z
$Datos,319, 1,208,252,5,Z
$Datos,320, 1,208,252,5,Z
$Datos,321, 1,208,251,5,Z
$Datos,322, 1,208,251,5,Z
$Datos,323, 1,208,251,5,Z
$Datos,324, 1,208,251,5,Z
$Datos,325, 1,208,251,5,Z
$Datos,326, 1,208,251,5,Z
$Datos,327, 1,208,251,5,Z
$Datos,328, 1,208,251,5,Z
$Datos,329, 1,208,250,5,Z
$Datos,330, 1,207,250,5,Z
$Datos,331, 1,207,250,5,Z
$Datos,332, 1,207,250,5,Z
$Datos,333, 1,207,250,5,Z
$Datos,334, 1,207,250,5,Z
$Datos,335, 1,207,250,5,Z
$Datos,336, 1,207,250,5,Z
$Datos,337, 1,207,249,5,Z
$Datos,338, 1,207,250,5,Z
$Datos,339, 1,207,249,5,Z
$Datos,340, 1,207,249,5,Z
$Datos,341, 1,207,249,5,Z
$Datos,342, 1,207,249,5,Z
$Datos,343, 1,207,249,5,Z
$Datos,344, 1,207,249,5,Z
$Datos,345, 1,207,248,5,Z
$Datos,346, 1,207,249,5,Z
$Datos,347, 1,207,248,5,Z
$Datos,348, 1,207,248,5,Z
$Datos,349, 1,207,248,5,Z
$Datos,350, 1,207,248,5,Z
$Datos,351, 1,207,248,5,Z
$Datos,352, 1,207,248,5,Z
$Datos,353, 1,207,248,5,Z
$Datos,354, 1,207,248,5,Z
$Datos,355, 1,207,248,5,Z
$Datos,356, 1,207,248,5,Z
$Datos,357, 1,207,248,5,Z
$Datos,358, 1,207,247,5,Z
$Datos,359, 1,207,248,5,Z
$Datos,360, 1,207,247,5,Z
$Datos,361, 1,207,248,5,Z
$Datos,362, 1,207,247,5,Z
$Datos,363, 1,207,247,5,Z
$Datos,364, 1,207,247,5,Z
$Datos,365, 1,207,247,5,Z
$Datos,366, 1,207,247,5,Z
$Datos,367, 1,207,246,5,Z
$Datos,368, 1,207,247,5,Z
$Datos,369, 1,207,247,5,Z
$Datos,370, 1,207,246,5,Z
$Datos,371, 1,207,246,5,Z
$Datos,372, 1,207,246,5,Z
$Datos,373, 1,207,246,5,Z
$Datos,374, 1,207,246,5,Z
$Datos,375, 1,207,246,5,Z
$Datos,376, 1,207,246,5,Z
$Datos,377, 1,207,246,5,Z
$Datos,378, 1,207,246,5,Z
$Datos,379, 1,207,245,5,Z
$Datos,380, 1,207,246,5,Z
$Datos,381, 1,207,246,5,Z
$Datos,382, 1,207,245,5,Z
$Datos,383, 1,207,245,5,Z
$Datos,384, 1,207,245,5,Z
$Datos,385, 1,207,245,5,Z
$Datos,386, 1,207,245,5,Z
$Datos,387, 1,207,245,5,Z
$Datos,388, 1,207,245,5,Z
$Datos,389, 1,207,245,5,Z
$Datos,390, 1,207,244,5,Z
$Datos,391, 1,207,245,5,Z
$Datos,392, 1,207,244,5,Z
$Datos,393, 1,207,244,5,Z
$Datos,394, 1,207,244,5,Z
$Datos,395, 1,207,244,5,Z
$Datos,396, 1,207,244,5,Z
$Datos,397, 1,207,244,5,Z
$Datos,398, 1,207,244,5,Z
$Datos,399, 1,207,244,5,Z
$Datos,400, 1,207,244,5,Z
$Datos,401, 1,207,244,5,Z
$Datos,402, 1,207,244,5,Z
$Datos,403, 1,207,243,5,Z
$Datos,404, 1,208,243,5,Z
$Datos,405, 1,208,243,5,Z
$Datos,406, 1,208,243,5,Z
$Datos,407, 1,208,243,5,Z
$Datos,408, 1,208,243,5,Z
$Datos,409, 1,208,243,5,Z
$Datos,410, 1,208,243,5,Z
$Datos,411, 1,208,242,5,Z
$Datos,412, 1,208,242,5,Z
$Datos,413, 1,208,242,5,Z
$Datos,414, 1,208,242,5,Z
$Datos,415, 1,208,242,5,Z
$Datos,416, 1,208,242,5,Z
$Datos,417, 1,208,242,5,Z
$Datos,418, 1,208,242,5,Z
$Datos,419, 1,208,241,5,Z
$Datos,420, 1,208,241,5,Z
$Datos,421, 1,208,242,5,Z
$Datos,422, 1,208,241,5,Z
$Datos,423, 1,208,241,5,Z
$Datos,424, 1,208,241,5,Z
$Datos,425, 1,208,241,5,Z
$Datos,426, 1,208,241,5,Z
$Datos,427, 1,208,241,5,Z
$Datos,428, 1,208,240,5,Z
$Datos,429, 1,208,241,5,Z
$Datos,430, 1,208,241,5,Z
$Datos,431, 1,208,241,5,Z
$Datos,432, 1,208,240,5,Z
$Datos,433, 1,208,240,5,Z
$Datos,434, 1,208,240,5,Z
$Datos,435, 1,208,240,5,Z
$Datos,436, 1,207,240,5,Z
$Datos,437, 1,207,240,5,Z
$Datos,438, 1,207,240,5,Z
$Datos,439, 1,207,239,5,Z
$Datos,440, 1,207,239,5,Z
$Datos,441, 1,207,240,5,Z
$Datos,442, 1,207,240,5,Z
$Datos,443, 1,207,240,5,Z
$Datos,444, 1,207,240,5,Z
$Datos,445, 1,207,239,5,Z
$Datos,446, 1,207,239,5,Z
$Datos,447, 1,207,239,5,Z
$Datos,448, 1,207,239,5,Z
$Datos,449, 1,207,239,5,Z
$Datos,450, 1,207,239,5,Z
$Datos,451, 1,207,239,5,Z
$Datos,452, 1,207,238,5,Z
$Datos,453, 1,207,238,5,Z
$Datos,454, 1,207,238,5,Z
$Datos,455, 1,207,238,5,Z
$Datos,456, 1,207,238,5,Z
$Datos,457, 1,207,238,5,Z
$Datos,458, 1,207,238,5,Z
$Datos,459, 1,207,238,5,Z
$Datos,460, 1,207,238,5,Z
$Datos,461, 1,207,238,5,Z
$Datos,462, 1,207,238,5,Z
$Datos,463, 1,207,237,5,Z
$Datos,464, 1,207,238,5,Z
$Datos,465, 1,207,237,5,Z
$Datos,466, 1,207,237,5,Z
$Datos,467, 1,207,237,5,Z
$Datos,468, 1,207,237,5,Z
$Datos,469, 1,207,237,5,Z
$Datos,470, 1,207,237,5,Z
$Datos,471, 1,207,237,5,Z
$Datos,472, 1,207,237,5,Z
$Datos,473, 1,207,236,5,Z
$Datos,474, 1,207,236,5,Z
$Datos,475, 1,208,237,5,Z
$Datos,476, 1,207,237,5,Z
$Datos,477, 1,208,237,5,Z
$Datos,478, 1,208,237,5,Z
$Datos,479, 1,208,236,5,Z
$Datos,480, 1,208,237,5,Z
$Datos,481, 1,208,237,5,Z
$Datos,482, 1,208,236,5,Z
$Datos,483, 1,208,236,5,Z
$Datos,484, 1,208,236,5,Z
$Datos,485, 1,208,236,5,Z
$Datos,486, 1,208,236,5,Z
$Datos,487, 1,208,236,5,Z
$Datos,488, 1,208,235,5,Z
$Datos,489, 1,208,235,5,Z
$Datos,490, 1,208,235,5,Z
$Datos,491, 1,208,236,5,Z
$Datos,492, 1,208,235,5,Z
$Datos,493, 1,208,236,5,Z
$Datos,494, 1,208,236,5,Z
$Datos,495, 1,208,235,5,Z
$Datos,496, 1,208,236,5,Z
$Datos,497, 1,208,235,5,Z
$Datos,498, 1,208,235,5,Z
$Datos,499, 1,208,235,5,Z
$Datos,500, 1,208,235,5,Z
$Datos,501, 1,208,235,5,Z
$Datos,502, 1,208,235,5,Z
$Datos,503, 1,208,235,5,Z
$Datos,504, 1,208,234,5,Z
$Datos,505, 1,208,235,5,Z
$Datos,506, 1,208,234,5,Z
$Datos,507, 1,207,235,5,Z
$Datos,508, 1,207,235,5,Z
$Datos,509, 1,207,235,5,Z
$Datos,510, 1,207,235,5,Z
$Datos,511, 1,207,235,5,Z
$Datos,512, 1,206,234,5,Z
$Datos,513, 1,206,234,5,Z
